"","Sample_1","Sample_5","Sample_6","Sample_8","Sample_9","Sample_10","Sample_11","Sample_17","Sample_13","Sample_20","Sample_23","Sample_2","Sample_3","Sample_4","Sample_7","Sample_12","Sample_14","Sample_15","Sample_16","Sample_18","Sample_19","Sample_21","Sample_22","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28"
"Q9HAB8",46559,41914,60576,43679,49728,47148,60590,61208,59151,42111,47700,77189,47507,46295,78435,55538,74041,74914,70331,95712,56067,52888,63311,58505,102730,59522,49073,73308
"Q9HAU0",42860,18424,28240,27169,41772,16507,42920,27962,33275,78341,25882,30953,41760,48200,60411,43244,41675,38889,47446,54534,46844,29130,39350.3573263377,37026,53342,30570,33101,33099
"Q9HAV0",83941,85059,94784,65116,99771,107320,77612,49330,100160,94887,87562,51977,43577,74084,33212,77914,18056,90051,19696,48255.1199265739,80171,104160,56531.1150940552,120210,70981,71145.8059210089,25491,67402.3960872063
"Q9HAV7",29974,45873,49742,35454,61944,34012,53149.2179871961,32336,55981,67065,15515,54801,124170,47701,62194,32681,159970,80049,178100,218670,34598,53054,105620,25849,56265,46000,74120,39574
"Q9HB07",45038,43503,51977,54859,74078,49765,51453,73101,48782,53476,45457,126550,66429,63216,55578,55492,236320,50826,73522,103000,60302,54830,53335,35183,60894,63369,81467,72919
"Q9HB71",47891,84535,108720,127600,119050,229090,87472.4226715305,132010,98494,103110,87339,209080,133250,109141.679401016,103960,140860,200970,115100,107870,489050,236280,95136,103080,44888,158120,86813,138030,100760
"Q9HBL0",375440,388040,317150,347450,163620,291800,318570,166870,390800,669890,287640,153290,153180,287790,261620,215110,8198.9,567390,178100,10669,421450,666930,109130,594440,165780,326080,156100,351390
"Q9HC35",86004,132720,133110,98390,184020,202310,106210,214960,123260,121020,85814,213300,251600,155710,184150,61659,135140,126670,149190,154060,109930,160270,189790,74346,232960,131610,200770,173810
"Q9HC38",154520,207720,210260,157900,77545,220200,148580,265080,189730,169780,110050,136620,161490,277490,241400,137070,180060,227370,199550,125370,155230,157690,305700,194970,174890,113470,54220,189700
"Q9HC84",45896,192930,42992,30501,36563,134250,18941,207078.543192388,143624.931448703,46532,110599.880448007,39383,217761.578307337,32598,23082,8906,7535.4,140800,829220,774530,48708,30219,946400,20619,163657.919793925,346620,14925,154480
"Q9HCB6",178360,132050,112870,19062,16444,39384,202170,75949,157150,155300,125150,22216,40201,62721,36972,126700,35386.8393805432,53216,33109,38079.7554133707,48109,83879,11027,228920,41018,26623,43815.8815167165,98694
"Q9HCC0",65777,120230,103130,37025,96858,92510,22581,96695,31754,66433,46046.1812204232,38571,82010,72860,100640,26488,49937,80845,152930,113150,67671,42121,269410,62453,68582,53177,70648.4523272638,23942
"Q9HCD5",20972.1895724681,8439.7,16366,61892,41048,15229,24715.7309550532,32498,9591.2,13271,15558.1821708046,41326,47375,15069,26572.7909734627,24348,47141,23059,17930,12909,18712.1475126303,28989,25022,18629.7330501414,40705,42498,58270,20137
"Q9HCU0",78473,30576,39461,42706.586732333,51476.2093443839,46274,86964,52412,65834.7787586347,50125.6427871668,101820,29730,55387,46434.3815513494,50187.4913048564,152100,67510.6506576758,29526,40255.8241723486,24579,53775,26751,40024.7514347043,56112,62856.6055521301,15384,29369,58301.4045324704
"Q9HCU5",48706.572215134,41683,39870,66682,44097,72625,74938,77544,55994.8535320741,49036.0397844301,44520,116730,41466,76236,74450,71429,103050,36525,74943,82180,101280,60839,83893,41603.3570894019,70729.5199652571,38686,58656,69521.3150646393
"Q9HCY8",69547,104960,54676,90249,22888,98463,66554.7755591614,40464,69942.5236454254,32322,22774,10202,25995,99913,87156,13579,67630,121500,60813,108270,76456,14400,78091,46839,39563,313690,85683,38228
"Q9HD20",57571,73331,91935,72514,111690,92522,116520,95390,83998,40205,98348,124660,140020,121550,65856,112410,125260,98101,63093,95734,59166,79428,100040,57302.2845156263,94953,83046,84301,88093
"Q9HD45",156410,148300,124650,84913,222020,95095,99328,137500,136110,107220,100030,177820,119630,200430,246010,95183,196740,123110,150630,312940,125710,75388,193980,84630,114760,124750,182110,111770
"Q9HD89",146672.919373139,122300.185802454,31691,148470,68908,129430.301595442,336880,74950,42784,49571,102100,41316,98249,85029,171980,242620,106430,33589,66407,645840,164259.529229252,112896.169033222,108760,202249.572768352,451630,36992,21653,127174.866117137
"Q9HDC9",161600,201580,225870,524090,337980,536670,323260,217440,383110,230070,305320,608910,299840,239240,232110,294390,535210,177340,327150,571250,228890,239860,202650,162870,259350,182520,393920,259740
"Q9NP61",45778,55827,52477,52872,84175,45756,71990,68496,64664,50126,57674.7165505119,115940,63972,62384,97413,102660,101030.963328539,63297,64874,95663.8657320812,57125,60563,68414,37328.7580939115,64495,68391.560965655,62285,75469
"Q9NP72",84072,152690,127480,124260,122810,94482,91540,130630,110620,110340,104750,147620,116250,110730,114180,125060,124180,93502,98182,88254,119830,109840,136410,104840,105120,118920,130410,151590
"Q9NP79",117350.027309801,109451.203458197,128841.948824585,164070,139380,119317.543130791,56059,167020,159590,213460,139010,237950,167750,102530,141317.997364538,135603.080427742,360450,232330,65991,314460,130331.233119512,148930,88966,93896.3241141584,116110,158998.989542743,182870,162270
"Q9NP81",23364.722016344,7531,5006,18308,16536,8902.4,16099.6697202581,7229.2,5064.6,14608,4596.3,21969,9904.7,16199,15366,3966.5,252220,18841,68805,35472.3893300052,7119.6,7263.9,26950,14309.5642625985,4206.4,30994,16873,5486.3
"Q9NP97",157100,176180,236080,173480,258080,210070,208420,137890,259680,151920,183370,196910,179840,164630,169660,181190,184090,151670,162410,146460,170280,218970,178620,192120,192770,186190,159960,187390
"Q9NPD3",37894,30686,40066,39057,55612,40932,29467,55861,41084.298383896,36234,36271.1497948001,49864,63453,48906,53354,63394,113800,47739,64209,75230,59641,31555,39213,26817.7548415517,41106,66633,75725,49615.9854070138
"Q9NPF4",72623,70644,73460,53460,75144.3566157549,53159,62046.9134098402,82933,67882,74653,64190,62393,71996.5581163375,69162,65575,63608,88095,78087,63533,65539,60686.5900834866,68655.1802553395,71930,48673.4949046463,87085.3346338316,57565,74807,70757.828503006
"Q9NPH2",43991,52593,53622,29757,39104,30283,53275,28066,49329,41151,43668,37867,59138.9808495816,45647,46860.8233950839,45633.8889849819,72723,67048,37880,137360,47145.7473888377,57478,57975.9124801768,39602.2068192928,33756,37353,28698,44614.848751078
"Q9NPQ8",31739,34875,34734,30957,55345,26176,27117,31684,28767,41514,27932,38088,29724,31091,32330,35829,59740,49018,42795,39627,33883,37594,29163,26560,37268,42769,39570,41849
"Q9NQ48",24670,24028,23448.577687848,22911,28653,26972,27981,23100,25219.8428716069,23986,20475,28609,21307,26605,24545,26312,70284,30902.5472358961,35251.3671865675,51983,21729,27480,25379,28542,35174,27005,42449,30036.9155732898
"Q9NQC3",1288300,1253800,1611100,1060000,1214900,1576900,1252800,978050,1767800,1464900,1392100,1164800,1107500,1258400,1175300,1285900,723190,1114900,1203000,642190,1258000,1645000,899780,1292200,982360,1141800,1005000,960310
"Q9NQG5",67896,68157,70820,103960,103110,91995,56897,90623,57484,59192,46109,129360,108330,66415,57566,66748,152730,68988,117160,55788,40823,81330,70849,25971,104590,70286,142530,56377
"Q9NQP4",54903,59921,61503,108510,75023,45981,49456,79168,74447,58927,39314,81175,60150,47489,45054,39798,120070,82695,90962,124180,58367,48726,64539,47331,97017,78615,80526,99526
"Q9NQR4",93152,103010,123090,64634,112590,118880,95274,112550,99344,120390,76945,90598,94923,102640,107010,103580,99212,86339,86702,150540,114790,102080,125540,120030,98306,101220,101830,89745
"Q9NQT4",24131,23517,20069,32343,31482,13840,21297.0327070671,32891,25051.8631804497,22345,7860.3,33291,20355,23184,22765,21730,59099,15537,31151,28495,17367,24742.5219421299,20828,17909.3999729119,24904.5619781966,23308,39773,21191
"Q9NQT8",53373,71722,48800,23232,61313,35738,23017,39540,37236,47490,28608,28540,44001,77759,54538,33382,29024,48966,45822,87252,45330,49344,98307,46793,49902,48097,49307,45599
"Q9NQW7",21247,30832,28960,51452,14539,24934,24298,75082,31154,17348,23144,43370,34796,34220,57922,26880,53868,47026,24735,19174,25816,14714,37641,37836,49947,42954,61311,38678
"Q9NR12",2215100,1028700,1217300,1251600,514540,959580,1181800,763950,1190000,1693600,1184300,362500,375140,982580,1524500,832080,74726,1192800,681020,166500,1770300,1486500,645270,2401700,548260,981370,428560,884760
"Q9NR19",28492.670107709,35775,29640.9218029447,28423,54850,60142,26166,47096,32214.7027755914,23561,25783,52369,74993,19932,22050,19177,71242,41441,66194,13913,27847.1261864659,17564,32290,17158,24984,15844,58610,18063
"Q9NR28",103750,116560,127320,87030,131870,154100,102220,140590,107090,127520,89543,169480,185530,160940,127030,106910,163160,167080,178320,102240,125970,120890,171620,73007,133110,110960,128320,126110
"Q9NR30",49086,39970,67365,157790,107180,72279,37794,241450,64617,49372,36169,132670,241570,55345,65901,99096,243280,58936,79863,167430,78237,43640,50819,31754,88611,129010,303080,85363
"Q9NR31",221830,253660,276340,255720,333080,268280,403190,298880,346400,253460,337710,347410,265650,302820,295710,355420,296080,218130,221980,301330,280660,261080,306050,259000,264150,289730,320990,304710
"Q9NR45",144790,139550,92954,93774,178860,188020,156760,177000,51440,68030,102390,186280,224950,250750,217880,120180,134010,155040,211030,153330,134910,96000,248810,75372,81523,80380,133620,120540
"Q9NR46",128290,96507,75727,81881,75450,86797,59812,93233,106140,96494,78454,88553,147400,151400,104360,82638,52902,88156,112980,134740,95098,75064,116190,99140,43976,82513,86950,121480
"Q9NR99",44505.2393321522,15461,41276,48802.949188872,72295,11046,159570,13458,63734.2393776621,53459.288271105,47222,149080,86198,26729,48481.2146603272,57220,61571.7658653394,44329,30680,31157,43383.3145139993,63632,42541.1778224843,41224.3931588307,100120,17080,45339,79633
"Q9NRF8",47867,67964,39384.7233414245,36682,49824,44214,44325,20993,40331,44338,39618.2488429978,69167,41609,39761,18193,39979,59672,35636,47789,27248,33047,30747,53710,36986,83633,37403,21255,49258
"Q9NRG9",23944,23507.5112273166,25382,50119,51595,26805,36339,53881,21195,18493,15010,54745,44027,23441.5864126811,23743,26598,118180,34076,28424,39065,27717.042359021,29672.0167924111,23379,20343.9128819786,39833,31310,43206,27827
"Q9NRV9",207570,270260,297750,153280,203430,237450,224240,199510,350730,256520,268800,222410,268390,258720,302990,264680,178040,237400,266900,99876,218620,263460,312300,210060,296580,206780,99306,585230
"Q9NRW3",93662,72731,88643,76172,86138,72409.917720787,53706,81837,101400,93235,89399,127960,92117,38230,68397.8642029224,50711,111164.43024042,78212.2582263795,56490,95191,63619.3532917095,75670.0320431215,80340,54579.9312245374,55373,89781,75403,79457
"Q9NRW7",26251,20173,20406,27209,23563,24858,20712,30356,26637,28644,23307,24466,20367,25494,21802,29297,33592,29449,34520,23384,24057,35472,24142,11989,12860,27831,26988,27884
"Q9NS69",62832,79160,79728,86306,70697,74953,58433.2800344486,86914,84476,53563,36747,116230,126310,58178,51206,48855,128220,88328,111240,80734.7132029253,45579,58859,82320,43302.5028093821,70172,64598,166380,81713
"Q9NS86",34582,38492,29709,30106,36130,36189.191107144,31015.4433461861,32906,38493,36993,30838.6941037433,46330.5674398122,34637,23180,32548.7313055894,34642.323724665,57838,45121,38479.7247367355,53144.0675271448,30548.8297290975,33125.4746588433,52149,25189.3033021435,63230,33138,36849,49444
"Q9NSD9",126830,130370,133070,157800,173620,162140,109850,164680,141330,116530,86729,159450,160760,134160,124050,97132,223040,114850,131220,259600,145900,111000,183170,114320,146080,107660,184030,121720
"Q9NSE4",97561,90646,96467,87694,122320,166740,61058,94730,90340,130230,64078,105850,146730,122380,103160,66943,115530,142840,141380,320250,78854,101590,140300,70190,89822,102960,106020,94124
"Q9NSK0",32043,75491,22851,45845,50945,70127,17429,62939,28459,33990,29707,53179,45309,58825,44985,19795,59647,68082,46720,27655,45493,38525,59826,35587,87865,56012,38732,57296
"Q9NT62",50434,64436,75979,62159,68178,66343,59859,65563,58952,66935,66449,72271,63735,73794,68342,74712,62609,74255,54017,109510,58718,70979,75220,52210,65142,78185,80114,72984
"Q9NTI5",29345,60395,24568,38514,45992,52306,34709.9476940652,42907,29796,39741,43986,56684,76460,55137,35667.7248019242,28735,204390,46415,10426,36516,37525.1687512289,40644.4392660861,39996,25309.8913453984,94660,46101.464969105,120910,49125.2832810974
"Q9NTJ5",75798,81181,83871,79467,92531,114590,105020,92178,89058,89421,86570,101040,105620,110630,102980,101600,111970,91709,92418,101470,83035,83860,137480,69536,78278,89564,89886,113430
"Q9NTK5",97068,114970,91670,136450,132160,101530,90593,119370,110100,105660,91437,171860,92261,84568,116230,103440,185150,114650,198980,169700,126390,100740,106450,72580,151310,105290,180290,133760
"Q9NTX5",75920,84168,62591,66597,90764,45005,58022.3964124656,72835,69746,80044,97652,36488,57741,69975,81861,68298,60405.6297083142,47841,58182,25409,54983,40728,119270,50521,40640,54808,53335,57903
"Q9NTZ6",45797,39122,48094,65870,69156,53779,39531,61078,53525,42668,36458,77451,63020,44592,45220,54340,88599,44600,54428,37947,39640,49981,42505,24503,67446,41616,80262,55911
"Q9NUB1",38616,164300,30810,49512,125940,195440,9012.4,38559,33024,70046,8094.7,20137,61789,54392,59186,13957,4877.7,44308,151520,56900,21853,51726.2907751309,308580,26450,12168,46610.4475996688,52611,27794
"Q9NUJ1",40999,64057,60151,60052,66583,68787,43506.6014623736,47885,43702,75632,32029,37894,40205,57899,69679,50433,41909,63391,47476,57836,50348,47636,102020,34884,52416,48355,38346,55187.0987174524
"Q9NUP9",69293,64372,59693,51639,54213,29339,54585,79807,58663,34321,36299,47560,124190,57685,63440,39854,44080,87082,68699,58836,56508,49012,74839,40620.6578332337,79794,46823,58125,57311
"Q9NUQ6",23876,32405,17210,16844,26534,26342.3658696898,41855,61296,34259,23336,33251,34804,22531,23074,23991,53975,16173,31411,44138,51262,18279,25191,23298,20545.4501556442,50243,37012,50536,30681
"Q9NUQ7",38070,51334,50540,25836,74340,53415.2469976261,35115,40289,55285,51333,38204,39075,57954,42761,61350,42574,53904,66287,59359,30605,48902.8450421696,42925,70305,37118.1152395615,49893,69725,45055,55730
"Q9NUQ8",49134,17543,22684,69318,38325,29165,31729,68368,51732,40996,45749,59491,56442,43741,42686,54878,73121,48082,70010,85014,60876,38171,57677,26817.8039691843,35831,60437,75427,44921
"Q9NUQ9",131070,144430,132530,107300,140390,107000,73099,110600,164120,185840,111120,137830,127820,168520,136120,141530,96073,162920,115340,129840,110600,105870,136920,66553,222160,133400,175580,207280
"Q9NUU7",92987,82771,100240,96296,105870,114010,81285,74084,109710,91487,93986,94872,94730,98435,101180,114200,92813,77602,128020,114350,114390,71671,85131,88269,121850,103610,99745,157110
"Q9NUV9",80025,59372,55508,41381,39124,88370,70857,40438,24360,82423,72251,42041,26950,77014,45489,65330,18695,35299,42778,9186.1,52561,41950,52394,15195,34476,40583,46103,47402
"Q9NVA2",315790,271290,305280,136560,224060,210080,405260,212920,355160,284030,335930,220760,242420,270270,160230,262510,145340,225080,151680,105380,233390,352400,183450,268290,298150,170320,206150,224780
"Q9NVD7",281770,314430,287420,230280,196900,216150,265130,175230,371080,495030,316590,162560,136390,233810,250170,227190,66681,347670,175480,81271,364130,405140,154210,436290,193410,250190,131450,295680
"Q9NVE7",21268,22045,24299,17435,19866,20544,21028.8379433058,21602,37102,26081,22662,18183,15763,16993,24177,20678,31975,27350,25418.5065244625,26246.708258715,27897,23052,20993,30295,24014,33644,24249,27724
"Q9NVH1",33744,24790,25058,31801.8006745842,36292,43085,30026.6162206582,33032,27149,35233,25526,29535,37147,22216,31785,23763,58584,37300,40095,31236,33035,29218,52800,20818.2480381444,30849.5430873583,34625,30852,31417
"Q9NVI7",62349,77362,79223,77692,122850,102540,55767,213440,70137,106620,49970,135630,198570,87213,103480,83379,267740,245140,173170,196300,53341,103210,128940,44090,105580,195720,140200,67832
"Q9NVJ2",68994,110470,119870,70850,94463,96048,92527,126020,81723,152090,84364,126490,136880,139840,84779,105330,110730,139730,108030,96167,99915,112240,134370,46346,116690,78701,110170,118810
"Q9NVP1",41231,33133,57072,95015,56539,39844,43521.4743618653,82033,34148,46849,38523.5947095309,89689,87696,32673,42341,40377,179420,30945,95884,48957,59702,38677,53750,33015.4504787776,101860,59603,109420,64635
"Q9NVS9",106180,87011,77489,44155,57646,76712,46517,114050,72664.3658708176,67561,38201,41543,97677,83927,94941,36978,36484,60583,66066,56344,70378,75589,98685,41905,36930,73730,75063,61563.210873353
"Q9NVT9",22231,23437,24441,37756,22747,38042,29762.7466187934,29693,34844,36961,20401,25411,39840,23352,40755,28148,39125,48488,46022,31123,43822,30519,36988,21580.3930716284,30618.9969631089,32115,45374,35494.8842588363
"Q9NVZ3",54959,67948,73789,52142,76396,91610,85676,59611,74168,66744,85775,70251,55769,69004,49534,82705,53366,66962,60717,46701,53066,72372,77052,53239.663368351,76055,90015,87385,78321
"Q9NWH9",145740,112460,92882,191520,135300,163340,128270,222040,174120,90327,75905,119150,144110,138700,148370,142680,261290,189970,178660,101780,148260,147080,117490,108120,205940,115380,133880,138790
"Q9NWV4",155250,149380,141930,95907,93326,95883,149470,129150,93110,179220,151510,88209,70279,147250,143080,134300,62581,153890,104060,63461,184940,144910,132280,160980,65914,103800,89719,132200
"Q9NX08",31964,23102,17654,28056,24896,26179,25448.1320155752,30956,29939.510009922,27623,28534,31808,26310,34697,31449,35611,32388,30625,31030,30359.7291822307,32291,29914,26838,16669.4838455658,25243.907042236,34654,35392,31370.8347515168
"Q9NX24",107400,92070,75185,70595,181520,76778,47769,140930,74469,81259,70897,102820,158910,114610,88219,125530,167680,65810,93147,94801,56348,84545,118520,49108.0734061314,121165.637869832,94030,179420,76418
"Q9NX40",118220,100330,82576,79758,109960,85267,81302.1057880419,111520,55387,93642,65142,59076,129090,130280,100500,80934,103320,128580,142660,173020,90563,98441,174010,51297,103220,83327,134960,31934
"Q9NX46",53930,46730,45866,42079,29450,59068,46367,61273,40765,51144,46460,58750,32251,52802,57205,50770,74884,75181,61784,49983,51695,34445,49717,33309,44713,57963,44673,71663
"Q9NX58",38825.8648022679,35493.4074739135,34960,28660,23583,25812,40915.537654738,58823.0377931711,22021,36892,8888,66433,91124,34164,30958,47107,249810,35880,37028,82863,30746,40103,33486,28965.5044795251,109780,28843,121850,31872
"Q9NX63",197980,223520,206540,125370,201440,296870,162160,239740,249750,213270,141090,146050,254320,198150,205970,163300,149860,200890,240680,242400,221640,196460,376790,187040,156150,175700,200160,172030
"Q9NXF1",8165.3,5547.2,13522.5159632965,20528.0476082764,22359,17981.294587117,14549.0162845459,14974,22132.1378329428,7908.8,4024.8,18814,4828.2,3194.3,6476.9,10023,55776,7005.3,10023,11076,4082.9,10068,6014.6,16848.6904367706,17910.1589640009,11978,15662,25190.5761005944
"Q9NXG2",102310,145150,158530,70523,175260,144210,115470,113460,143110,133310,107930,109120,124690,181750,135340,148720,50445,83019,129500,121920,155310,126000,153930,103180,114450,87493,104740,75031
"Q9NXV6",40310,49880,38365,28285,56500,41132.6654339656,39500.8918433979,38948,45287,42314,33964,31153,43273,45114,42695,47956,30851,32935,41852.4261185827,45217.1758363193,33056,56540,35748,29284,60837,38790,31619,28045
"Q9NY12",55442,71206,59279,55683,84526,46024,56542.4356368297,129060,52591,80725,46835.1230915312,85260,112810,56623,51658,56027,152950,57820,75668,55693,39776,58379,60033,42224.9541770854,59381,40487,115430,69993
"Q9NY15",39739,45035,37256,27779,43821,34754,50427,23852,58793,56685,77795,29557,15442,33659,20304,85836,22376,38800,24710,29320.9437281552,27651,53107,32317,32670.3992541187,35061,49143,19634,32833
"Q9NY33",96939,77777,84252,133680,78044,56171,60463,87982,96972,60207,55116,89397,171160,128920,133940,71491,147260,100800,164860,175170,70366,94934,112640,61020,119480,128960,87526,118130
"Q9NYF8",70838,71725,73847,162570,98438,103920,96233,160820,77959,66631,59797,109550,121710,85870,92994,104450,161970,104930,100520,87995,90219,40914,83853,38174,73298,100400,120280,73526
"Q9NYL2",61066,66925,60906,49827,32182,80819,65920,34469,69393.8573895675,78615.9898382781,57741,38487.5145754127,31160.4211392732,40485,61267,69240,23906,66883,37449,22796,94052,84895,38546,108890,43033,38280,33757.4752438325,50956.6804705433
"Q9NYL4",112440,95443,132440,113460,144550,72894,181800,154840,90093,71796,183500,156690,70653,144600,106770,192880,99612,97497,116690,95302,75022,128160,269310,45808,108820,118990,160060,77243
"Q9NYL9",107060,131630,90490,83977,100680,103020,110720,131500,118540,74269,116530,86377,106890,108210,85556,86653,75911,100170,85235,78511,82595,91828,103220,70855,143620,94907,108120,110270
"Q9NYU2",99674,92933,99923,125950,128190,95446,107170,104250,111750,81907,101790,132440,112110,131150,117960,103450,200350,85999,137930,145990,90477,96038,132760,73489,124970,110290,153210,169500
"Q9NZ01",89372,94756,116900,136310,183430,127170,130490,128360,49376,105230,118600,194310,235920,193870,196290,111910,244870,132720,156110,108900,121190,127370,187430,64541,91417,136600,126490,179990
"Q9NZ08",232730,217620,165090,91017,244620,128480,129610,160470,273160,167450,184850,334140,137670,364800,318380,127800,120660,208110,308400,256310,261410,121230,340450,198100,372150,451520,56666,200120
"Q9NZB2",122700,136120,95267,78066,173250,115050,112580,116490,136670,93063,101990,110080,170390,146400,122800,127980,78874,123400,137550,111390,122640,128020,134820,96075,113650,103860,107970,110290
"Q9NZJ7",46781.1274383026,34173.1706100297,34761.0410643212,24576,28611,67443,34369.4308525128,30259,26117,30833,32740.7897515319,32746,28541,42414,49154,34131.7047532934,52398,35089,31058.5940518871,50227,32008.3975939102,34573,36897,24563.5430351584,43465,28750,31094,39270.8724151835
"Q9NZJ9",60352,63937,68120,86998,56896,106910,53697.2624146619,64340,90065,60775.4648344623,55409,148980,74579,66374,71543,67306,166650,73294,56510,77188.5041172722,57880,66522,68243,64275,78014,83371,62310,78361
"Q9NZL4",49668,37409,51027,97969,75917,30831,40940.0270589638,37072,27700,43555,20594,167260,19978,30849,42648,26986,131190,53393,28192,30646,39973,25293,25907,32121,38993,73342,185860,43200
"Q9NZL9",140480,118190,161150,136170,164710,156410,119800,195880,147570,122590,113260,110220,180940,151650,156540,113380,134770,134120,168550,121540,136660,119200,148850,115150,175320,170330,179740,148620
"Q9NZM1",119110,119390,195260,62446,152810,185220,216960,85404,208420,136520,190570,170800,166500,148230,65750,112970,68238,125690,101620,79908,130020,200160,90386,122600,119730,119740,204170,153890
"Q9NZN4",627760,731830,473040,486340,233450,588100,439910,265850,729580,851530,592480,165500,226730,428370,490160,414620,40762,669990,235200,68494,744440,769580,229980,985840,244060,497300,169780,543050
"Q9NZT2",34989,34211,28269,104020,59337,60454,23323,44088,35081,35452,26732,85519,83963,49562,32868,32674,55195,71585,101370,88992,47683.243915853,65852,37515,43190.680293313,62921,116180,133770,55739
"Q9NZU5",88586,96981,254740,183990,165420,66988,201660,63555,114990,175060,152190,172930,107580,101040,44180,102230,64211,101980,107100,47061,62985,152340,69206,44481,37892,86453,114490,115600
"Q9P000",27231.0671689437,31097.7282088027,33748.6283117648,18053,88720,44410,18190,21046,37013.9019074669,64845,28021.1342816668,21360,30433.7881544111,25769,22990,16507,31160,23860,38135,16161,15849,34680.5958346332,27148,20765.1273852784,29538.5644372309,11538,21612,31435.2422195642
"Q9P035",212780,212150,170140,273380,227000,213130,220320,428860,178310,169530,180620,326380,450470,294540,216420,246760,401390,299650,263660,237140,163650,207990,277100,123130,178930,157270,245400,298100
"Q9P0I2",27071,23810,32075,44285.0755781672,49896,33430,34093,40901,44745,31375,22115,49001,50191,33529,38255,43123,74083,50097,50007,79341,40518,30588,56175,27519.4721898212,50604,47905,41770,52050
"Q9P0J0",131370,118830,121290,90492,137690,120640,114320,119150,144870,90012,109510,79360,171620,155820,154250,105950,82090,91651,110060,77808,152700,134800,250740,177180,97977,117810,91764,108140
"Q9P0K7",14537,24741,30141,17167,36912,26781.8184313914,21587,19288,35622,36954,33822,33279,30127.2791477773,18964,21220.1700221271,28562,20689,24862,12454,25438.0413547333,23376.7743952219,40285,16954,17740.8151431143,40999,16251,32793,29367
"Q9P0L0",58959,66049,46520,76656,44779,96908,88386,73892,10475,49615,58531,86842,73658,80333,76593,73820,160690,83272,144620,108650,89360,66037,104000,57932,54734,45170,102060,10439
"Q9P0M6",145140,94269,173980,124900,141650,210790,205850,130710,158890,137320,136350,205020,106820,193430,140810,176550,367750,130480,115810,40727,153090,159250,171310,94991,150410,90929,64339,103000
"Q9P0V9",39189,53277,66470,58897,51159.0910038888,67761,43062,29453,51966,59667,39603,24461,40875,40977,29165,37712,31691,73980,28554,52730,39290,58250,41445,39652,46455.8310671188,61210,50857,66667
"Q9P1F3",42279.0788452845,56411,41196,55901,56939.2901142163,60345.2452544116,35273.1805632451,87331,48900,77043,20084,41424,64637,37011,55112,37794,25824,79224,60384.3725538826,55132.5780390541,16693,49124.7917624498,78954,32662.4376223007,38905,51669,151020,51394
"Q9P253",36136,30661,18561,30614,28364,31036.4986458643,46401,33567.6839450454,34932.2538621241,32850,34509,40160,40795,45035,34291.9377765648,37656.237289916,41993,34330,38126,21420,37354,41462,35820.063173975,11340,30977.0945854417,27146,34367,36592.0065592439
"Q9P258",81330,89007,70927,214570,105580,63248,81853,169200,106423.896365411,77470,54447,213180,159750,77972,62267,75666,920080,133930,146840,142960,78635,95094,72679,26432,102220,87177,205180,143104.45124518
"Q9P2B2",72592,62624,55658,42914,42871,55889,138930,46259,73994,58688,98176,36305,34808,54101,51462,83873,25130,49786,27364,26626,87546,59396,27090,71018,36188,51849,17827,33008
"Q9P2E9",385950,436180,384840,573440,772890,542240,734040,510060,655700,296490,631330,921560,434660,544180,547230,702440,338820,590980,576630,578060,351810,491360,791280,293300,560320,454290,781550,617380
"Q9P2J5",68406,78980,78544,102250,110450,73468,89892,149050,103270,76340,83966,119680,136980,85934,97005,99956,115770,84204,116280,122360,101260,85135,121380,64734,126020,99412,83086,87825
"Q9P2M7",20456,16157,4316.2,3343.1,16701,24075,58603.6507217982,54740,10519,5528.8,9993.4,14417,29577,16533,17209,5544.6,22255,67951,50535,59469,11002,31489,22595,48719.9240682271,417810,22373,58740,54747
"Q9P2R3",130690,83660,83927,65036,80803,68225,114370,66488,111430,99424,93205,83015,72599,88548,66513,94877,91733,76875,66856,44178,63717,77696,86488,68598,92815,74669,77067,89410
"Q9P2R7",76498,109600,112740,79901,126180,182870,84519,90817,121530,102760,95791,43985,189420,114440,92540,66595,117493.0463552,97125,109000,143399.588462369,114850,86673,189820,129370,180330,72923,137340,110610
"Q9P2X0",69336,75080,88697,72821,106680,80633,81925,90746,75701.461318238,69500.0332861204,98041,126950,123040,112080,90696,78688,161160,75815,88437,112300,71254,78167,118800,55307.5419566195,82645.0383871211,41717,121330,105672.467297406
"Q9UBB4",19197,29960.3433806103,25599.3773453857,40833,30555,27335.6986066789,19236.3837230204,49601,20282.329235274,16994,20487,14817,40803.3011722439,12185,24087,18980,274370,32123,59937.2281877881,44569.2865793669,19753.1005036082,25612.6023144437,11206,16756.2275867072,31528.339300598,40059,25627,27007.9343492875
"Q9UBB6",116680,89342,103030,126310,109217.478282828,52918,99883,79308,129380,102690,90986.535258917,181710,105225.702193548,73963,117880,105530,102230,134800,111510,136980,105780,77106,69731,77943.4094326009,119687.885482034,118538.27011313,101380,138492.997803725
"Q9UBC2",57101,62627,37374,28977,50794,38071,37018,54198,57654,58562,55311,40253,47804,48200,34465,50797,29131,42858,46212,42059,35085,52592,53894,35042.3654584072,45091,39578,51265,48217
"Q9UBE0",71411,140840,208760,234990,154820,105730,34038,85736,118820,148650,79609,284710,121970,126340,63478,136230,516320,87681,133730,43442,52428,83271,117350,40643,233040,120260,220600,199510
